

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

  2655.00000  0.706791E-02  0.000000E+00  0.545026E-03  0.000000E+00  0.258560E+00  -1000.000      0.000      4.241     177
  2670.00000  0.708040E-02  0.000000E+00  0.545041E-03  0.000000E+00  0.259149E+00  -1000.000      0.000      4.243     178
  2685.00000  0.709464E-02  0.000000E+00  0.545055E-03  0.000000E+00  0.259738E+00  -1000.000      0.000      4.246     179
  2700.00000  0.710700E-02  0.000000E+00  0.545069E-03  0.000000E+00  0.260327E+00  -1000.000      0.000      4.248     180
  2715.00000  0.712083E-02  0.000000E+00  0.545084E-03  0.000000E+00  0.260912E+00  -1000.000      0.000      4.246     181
  2730.00000  0.713170E-02  0.000000E+00  0.545098E-03  0.000000E+00  0.261493E+00  -1000.000      0.000      4.248     182
  2745.00000  0.714508E-02  0.000000E+00  0.545112E-03  0.000000E+00  0.262070E+00  -1000.000      0.000      4.250     183
  2760.00000  0.715869E-02  0.000000E+00  0.545127E-03  0.000000E+00  0.262644E+00  -1000.000      0.000      4.251     184
  2775.00000  0.717159E-02  0.000000E+00  0.545141E-03  0.000000E+00  0.263215E+00  -1000.000      0.000      4.249     185
  2790.00000  0.718425E-02  0.000000E+00  0.545155E-03  0.000000E+00  0.263783E+00  -1000.000      0.000      4.249     186
  2805.00000  0.719667E-02  0.000000E+00  0.545169E-03  0.000000E+00  0.264350E+00  -1000.000      0.000      4.250     187
  2820.00000  0.721001E-02  0.000000E+00  0.545184E-03  0.000000E+00  0.264916E+00  -1000.000      0.000      4.251     188
  2835.00000  0.722004E-02  0.000000E+00  0.545198E-03  0.000000E+00  0.265480E+00  -1000.000      0.000      4.251     189
  2850.00000  0.723087E-02  0.000000E+00  0.545212E-03  0.000000E+00  0.266043E+00  -1000.000      0.000      4.251     190
  2865.00000  0.724320E-02  0.000000E+00  0.545227E-03  0.000000E+00  0.266605E+00  -1000.000      0.000      4.251     191
  2880.00000  0.725173E-02  0.000000E+00  0.545241E-03  0.000000E+00  0.267167E+00  -1000.000      0.000      4.253     192
  2895.00000  0.726024E-02  0.000000E+00  0.545255E-03  0.000000E+00  0.267727E+00  -1000.000      0.000      4.252     193
  2910.00000  0.726874E-02  0.000000E+00  0.545269E-03  0.000000E+00  0.268282E+00  -1000.000      0.000      4.252     194
  2925.00000  0.727750E-02  0.000000E+00  0.545284E-03  0.000000E+00  0.268834E+00  -1000.000      0.000      4.252     195
  2940.00000  0.728677E-02  0.000000E+00  0.545298E-03  0.000000E+00  0.269382E+00  -1000.000      0.000      4.249     196
  2955.00000  0.729574E-02  0.000000E+00  0.545312E-03  0.000000E+00  0.269928E+00  -1000.000      0.000      4.250     197
  2970.00000  0.730470E-02  0.000000E+00  0.545326E-03  0.000000E+00  0.270471E+00  -1000.000      0.000      4.249     198
  2985.00000  0.731350E-02  0.000000E+00  0.545341E-03  0.000000E+00  0.271012E+00  -1000.000      0.000      4.249     199
  3000.00000  0.732321E-02  0.000000E+00  0.545355E-03  0.000000E+00  0.271552E+00  -1000.000      0.000      4.250     200
  3015.00000  0.733362E-02  0.000000E+00  0.545369E-03  0.000000E+00  0.272090E+00  -1000.000      0.000      4.248     201
  3030.00000  0.734469E-02  0.000000E+00  0.545383E-03  0.000000E+00  0.272627E+00  -1000.000      0.000      4.247     202
  3045.00000  0.735538E-02  0.000000E+00  0.545398E-03  0.000000E+00  0.273163E+00  -1000.000      0.000      4.247     203
